id   ,        Country         ,       Port Name        ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,         Area Local         ,         Area Global          ,                         Also known as                       
259  ,        Belgium         ,      ANTWERP ANCH      ,   null    ,        82         ,             52              ,            38             ,          0          ,  Anchorage  ,         North Sea          ,     UK Coast & Atlantic      ,                             null                            
261  ,         China          ,      XIAMEN ANCH       ,   null    ,        82         ,             59              ,            77             ,          0          ,  Anchorage  ,       East China Sea       ,         South China          ,                             null                            
268  ,         China          ,      HUIZHOU ANCH      ,   null    ,        79         ,             60              ,            57             ,          8          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
271  ,        Thailand        ,     SRIRACHA ANCH      ,   null    ,        79         ,             36              ,            32             ,          3          ,  Anchorage  ,      Gulf of Thailand      ,       South-East Asia        ,                             null                            
274  ,         China          ,     FANGCHENG ANCH     ,   null    ,        78         ,             110             ,            120            ,          2          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
281  ,         Panama         ,  PANAMA ANCH PACIFIC   ,   null    ,        76         ,             82              ,            81             ,          0          ,  Anchorage  ,        Panama Canal        ,  West Coast Central America  ,                             null                            
285  ,       Bangladesh       ,    CHITTAGONG ANCH     ,   null    ,        75         ,             22              ,            18             ,          0          ,  Anchorage  ,         Bengal Bay         ,       East Coast India       ,                             null                            
315  ,       Argentina        ,        RECALADA        ,   null    ,        69         ,             18              ,            12             ,         37          ,  Anchorage  ,  East Coast South America  ,   East Coast South America   ,                             null                            
316  ,      Saudi Arabia      ,      DAMMAM ANCH       ,   null    ,        69         ,             31              ,            36             ,          0          ,  Anchorage  ,        Persian Gulf        ,         Arabian Gulf         ,                             null                            
317  ,          USA           ,      HOUSTON ANCH      ,   null    ,        69         ,             45              ,            41             ,          0          ,  Anchorage  ,       Gulf of Mexico       ,        Gulf of Mexico        ,                             null                            
324  ,         China          ,     CHANGSHU ANCH      ,   null    ,        68         ,             154             ,            154            ,          0          ,  Anchorage  ,       East China Sea       ,        Central China         ,                             null                            
327  ,          Peru          ,      CALLAO ANCH       ,   null    ,        67         ,             48              ,            53             ,          3          ,  Anchorage  ,     West South America     ,      West South America      ,                             null                            
328  ,       Hong Kong        ,     HONG KONG ANCH     ,   null    ,        67         ,             117             ,            112            ,          3          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
329  ,         China          ,      QINGDAO ANCH      ,   null    ,        67         ,             120             ,            91             ,          2          ,  Anchorage  ,         Yellow Sea         ,         North China          ,                             null                            
356  ,  United Arab Emirates  ,    KHOR FAKKAN ANCH    ,   null    ,        64         ,             62              ,            55             ,          2          ,  Anchorage  ,         Oman Gulf          ,         Arabian Gulf         ,                             null                            
357  ,         Taiwan         ,     KAOHSIUNG ANCH     ,   null    ,        64         ,             36              ,            32             ,          0          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
366  ,         China          ,     ZHANJIANG ANCH     ,   null    ,        63         ,             27              ,            21             ,          3          ,  Anchorage  ,        South China         ,         South China          ,                             null                            
376  ,          Iran          ,   BANDAR ABBAS ANCH    ,   null    ,        62         ,             26              ,            20             ,          1          ,  Anchorage  ,        Persian Gulf        ,         Arabian Gulf         ,                             null                            
382  ,         Turkey         ,       TUZLA ANCH       ,   null    ,        61         ,             48              ,            53             ,          0          ,  Anchorage  ,        Marmara Sea         ,          Black Sea           ,                             null                            
390  ,      Netherlands       ,     AMSTERDAM ANCH     ,   null    ,        60         ,             32              ,            29             ,          0          ,  Anchorage  ,         North Sea          ,     UK Coast & Atlantic      ,                       "[IJMUIDEN ANCH]"                     
400  ,         Guinea         ,      KAMSAR ANCH       ,   null    ,        59         ,             32              ,            29             ,          2          ,  Anchorage  ,        West Africa         ,         West Africa          ,                             null                            
403  ,          Togo          ,       LOME ANCH        ,   null    ,        59         ,             12              ,            14             ,          0          ,  Anchorage  ,       Gulf of Guinea       ,         West Africa          ,                             null                            
409  ,        Vietnam         ,      HON GAI ANCH      ,   null    ,        58         ,             22              ,            20             ,          3          ,  Anchorage  ,      South-East Asia       ,       South-East Asia        ,                             null                            
411  ,      Netherlands       ,     ROTTERDAM ANCH     ,   null    ,        58         ,             29              ,            23             ,          0          ,  Anchorage  ,         North Sea          ,     UK Coast & Atlantic      ,                             null                            
417  ,         Japan          ,       TOKYO BAY        ,   null    ,        57         ,             200             ,            181            ,          3          ,  Anchorage  ,        Japan Coast         ,         Japan Coast          ,                             null                            
421  ,        Malaysia        ,  TANJUNG PELEPAS ANCH  ,   null    ,        57         ,             50              ,            51             ,          0          ,  Anchorage  ,       Singapore Area       ,          Indonesia           ,                             null                            
444  ,         Korea          ,       YEOSU ANCH       ,   null    ,        54         ,             121             ,            100            ,          7          ,  Anchorage  ,       East China Sea       ,         North China          ,                             null                            
457  ,         Brazil         ,     PARANAGUA ANCH     ,   null    ,        53         ,              3              ,             8             ,          0          ,  Anchorage  ,  East Coast South America  ,   East Coast South America   ,                             null                            
471  ,        Nigeria         ,       LAGOS ANCH       ,   null    ,        52         ,             23              ,            26             ,          0          ,  Anchorage  ,       Gulf of Guinea       ,         West Africa          ,                             null                            
473  ,         Panama         ,  PANAMA ANCH ATLANTIC  ,   null    ,        52         ,             26              ,            31             ,          0          ,  Anchorage  ,        Panama Canal        ,  East Coast Central America  ,                             null                            
