id   ,  Country  ,     Port Name      ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,    Area Local     ,    Area Global    ,                       Also known as                      
 6   ,   China   ,    ZHANGJIAGANG    ,   CNZJG   ,       1094        ,             653             ,            608            ,         120         ,    Port     ,  East China Sea   ,   Central China   ,      "[ZHANG JIA GANG, ZHANG GIAN GANG, ZHAN JIANG]"     
69   ,   China   ,      MAJISHAN      ,   CNMJS   ,        206        ,             197             ,            227            ,         22          ,    Port     ,  East China Sea   ,   Central China   ,                 "[MAJI SHAN, MA JI SHAN]"                
427  ,   China   ,      BINZHOU       ,   CNBIN   ,        55         ,             44              ,            42             ,         38          ,    Port     ,     Bohai Sea     ,    North China    ,               "[BIN ZHOU, TAOER RIVER PORT]"             
65   ,   China   ,      HUIZHOU       ,   CNHUI   ,        226        ,             72              ,            86             ,         104         ,    Port     ,    South China    ,    South China    ,                        "[HUI ZHOU]"                      
 7   ,   China   ,      ZHOUSHAN      ,   CNZOS   ,       1064        ,             791             ,            839            ,         463         ,    Port     ,  East China Sea   ,   Central China   ,         "[ZHOU SHAN, DINGHAI, DING HAI, ZHOUSAN]"        
74   ,   China   ,       YANGPU       ,   CNYPG   ,        197        ,             75              ,            76             ,         56          ,    Port     ,    South China    ,    South China    ,                     "[YANG PU, YANPU]"                   
63   ,   China   ,    NANTONG ANCH    ,   null    ,        229        ,             214             ,            206            ,          2          ,  Anchorage  ,  East China Sea   ,   Central China   ,                            null                          
62   ,   China   ,     DONG GUAN      ,   CNDGG   ,        231        ,             84              ,            102            ,         94          ,    Port     ,    South China    ,    South China    ,              "[DONGGUAN, SHA TIAN, DONGWAN]"             
61   ,   China   ,      HUANGHUA      ,   CNHUH   ,        231        ,             95              ,            114            ,         97          ,    Port     ,     Bohai Sea     ,    North China    ,                    "[HUANG HUA, CNHNH]"                  
60   ,   China   ,    NINGBO ANCH     ,   null    ,        243        ,             160             ,            208            ,          0          ,  Anchorage  ,  East China Sea   ,   Central China   ,                            null                          
58   ,   China   ,      LONGKOU       ,   CNLKU   ,        255        ,             432             ,            493            ,         55          ,    Port     ,     Bohai Sea     ,    North China    ,                        "[LONG KOU]"                      
238  ,   China   ,      LUOYUAN       ,   CNLYA   ,        86         ,             30              ,            35             ,         19          ,    Port     ,  East China Sea   ,    South China    ,                        "[LUO YUAN]"                      
75   ,   China   ,       ZHAPU        ,   CNZAP   ,        191        ,             143             ,            142            ,         125         ,    Port     ,  East China Sea   ,   Central China   ,            "[ZHA PU, HAIYAN, HAI YAN, JIAXING]"          
239  ,   China   ,    CHENJIAGANG     ,   CNCIG   ,        86         ,             29              ,            23             ,         12          ,    Port     ,    Yellow Sea     ,    North China    ,                        "[GUAN HE]"                       
268  ,   China   ,    HUIZHOU ANCH    ,   null    ,        79         ,             60              ,            57             ,          8          ,  Anchorage  ,    South China    ,    South China    ,                            null                          
78   ,   China   ,       NANSHA       ,   CNNSA   ,        181        ,             280             ,            281            ,         99          ,    Port     ,    South China    ,    South China    ,                        "[NAN SHA]"                       
 4   ,   China   ,      JIANGYIN      ,   CNJIA   ,       1112        ,            1076             ,           1070            ,         166         ,    Port     ,  East China Sea   ,   Central China   ,                  "[JANG JIN, JIANG YIN]"                 
