id   ,   Country   ,    Port Name    ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,         Area Local         ,        Area Global         ,        Also known as      
315  ,  Argentina  ,    RECALADA     ,   null    ,        69         ,             18              ,            12             ,         37          ,  Anchorage  ,  East Coast South America  ,  East Coast South America  ,            null           
170  ,  Argentina  ,  BUENOS AIRES   ,   ARBUE   ,        111        ,             37              ,            33             ,         10          ,    Port     ,  East Coast South America  ,  East Coast South America  ,  "[ZONA COMUN,  DOCK SUD]"
231  ,  Argentina  ,  MAR DEL PLATA  ,   ARMDQ   ,        88         ,              4              ,            12             ,         10          ,    Port     ,  East Coast South America  ,  East Coast South America  ,    "[PTO MAR DEL PLATA]"  
