id   ,  Country  ,    Port Name    ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,   Type   ,      Area Local      ,     Area Global     ,             Also known as           
426  ,  Canada   ,    VAN ISLE     ,   null    ,        56         ,             15              ,            24             ,          0          ,  Marina  ,  West Coast Canada   ,  West Coast Canada  ,                 null                
367  ,  Canada   ,   FALSE CREEK   ,   null    ,        63         ,             30              ,            36             ,          0          ,  Marina  ,  West Coast Canada   ,  West Coast Canada  ,                 null                
68   ,  Canada   ,    VANCOUVER    ,   CAVAN   ,        211        ,             70              ,            88             ,         71          ,   Port   ,  West Coast Canada   ,  West Coast Canada  ,  "[VANCOUVER BC,  VANCOUVER CANADA]"
319  ,  Canada   ,     HALIFAX     ,   CAHAL   ,        68         ,             18              ,            19             ,         39          ,   Port   ,  East Coast Canada   ,  East Coast Canada  ,     "[DARTMOUTH,  DARTMOUTH CA]"    
438  ,  Canada   ,     QUEBEC      ,   CAQUE   ,        54         ,             17              ,            21             ,         20          ,   Port   ,  St. Lawrence River  ,  East Coast Canada  ,              "[SILLERY]"            
453  ,  Canada   ,  PRINCE RUPERT  ,   CAPRR   ,        53         ,             41              ,            46             ,         17          ,   Port   ,  West Coast Canada   ,  West Coast Canada  ,                 null                
401  ,  Canada   ,     TORONTO     ,   CATOR   ,        59         ,              9              ,             9             ,          1          ,   Port   ,     Lake Ontario     ,     Great Lakes     ,                 null                
