id   ,  Country  ,  Port Name  ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,  Type  ,    Area Local    ,     Area Global      ,                   Also known as                 
314  ,   Italy   ,   LIVORNO   ,   ITLIV   ,        69         ,             28              ,            28             ,         37          ,  Port  ,   Ligurean Sea   ,  West Mediterranean  ,                       null                      
145  ,   Italy   ,  LA SPEZIA  ,   ITSPE   ,        124        ,             22              ,            30             ,         16          ,  Port  ,   Ligurean Sea   ,  West Mediterranean  ,                   "[LASPEZIA]"                  
383  ,   Italy   ,   VENICE    ,   ITVCE   ,        60         ,             30              ,            28             ,         28          ,  Port  ,   Adriatic Sea   ,     Adriatic Sea     ,  "[VENEZIA,  PORTO MARGHERA,  ITPMA,  MARGHERA]"
95   ,   Italy   ,   GENOVA    ,   ITGOA   ,        165        ,             55              ,            44             ,         42          ,  Port  ,   Ligurean Sea   ,  West Mediterranean  ,                     "[GENOA]"                   
407  ,   Italy   ,   NAPOLI    ,   ITNAP   ,        58         ,             31              ,            30             ,         16          ,  Port  ,  Tyrrhenian Sea  ,  West Mediterranean  ,                    "[NAPLES]"                   
445  ,   Italy   ,   SANREMO   ,   ITSRE   ,        54         ,              9              ,             7             ,          5          ,  Port  ,   Ligurean Sea   ,  West Mediterranean  ,                   "[SAN REMO]"                  
