id   ,  Country  ,   Port Name    ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,    Area Local     ,      Area Global      ,              Also known as             
228  ,  Belgium  ,    OOSTENDE    ,   BEOST   ,        89         ,             41              ,            56             ,         11          ,    Port     ,  English Channel  ,  UK Coast & Atlantic  ,           "[OSTEND,  OSTENDE]"         
218  ,  Belgium  ,   NIEUWPOORT   ,   BENIE   ,        92         ,             36              ,            45             ,          2          ,    Port     ,  English Channel  ,  UK Coast & Atlantic  ,                   null                 
15   ,  Belgium  ,    ANTWERP     ,   BEANR   ,        686        ,             211             ,            247            ,         187         ,    Port     ,   Antwerp Area    ,  UK Coast & Atlantic  ,  "[ANTWERPEN,  BEANT,  ANVERS,  BEAAA]"
259  ,  Belgium  ,  ANTWERP ANCH  ,   null    ,        82         ,             52              ,            38             ,          0          ,  Anchorage  ,     North Sea     ,  UK Coast & Atlantic  ,                   null                 
82   ,  Belgium  ,     GHENT      ,   BEGNE   ,        176        ,             86              ,            74             ,         42          ,    Port     ,   Antwerp Area    ,  UK Coast & Atlantic  ,             "[GENT,  BEGGG]"           
203  ,  Belgium  ,   ZEEBRUGGE    ,   BEZEE   ,        95         ,             41              ,            45             ,         36          ,    Port     ,     North Sea     ,  UK Coast & Atlantic  ,                   null                 
