id   ,  Country  ,   Port Name   ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,     Area Local     ,    Area Global     ,     Also known as   
379  ,   India   ,     KOCHI     ,   INCOK   ,        61         ,             38              ,            43             ,         26          ,    Port     ,  West Coast India  ,  West Coast India  ,  "[COCHIN,  INKOC]" 
282  ,   India   ,     SIKKA     ,   INSIK   ,        75         ,              6              ,             4             ,         24          ,    Port     ,  West Coast India  ,  West Coast India  ,         null        
370  ,   India   ,    MUNDRA     ,   INMUN   ,        62         ,             38              ,            40             ,         31          ,    Port     ,  West Coast India  ,  West Coast India  ,         null        
478  ,   India   ,   KAKINADA    ,   INKAK   ,        51         ,              8              ,            10             ,         21          ,    Port     ,     Bengal Bay     ,  East Coast India  ,         null        
233  ,   India   ,    MUMBAI     ,   INBOM   ,        87         ,             75              ,            74             ,         64          ,    Port     ,  West Coast India  ,  West Coast India  ,      "[BOMBAY]"     
299  ,   India   ,    HAZIRA     ,   INHZR   ,        72         ,             67              ,            71             ,         27          ,    Port     ,  West Coast India  ,  West Coast India  ,  "[SURAT,  GANDHAR]"
114  ,   India   ,  MUMBAI ANCH  ,   null    ,        148        ,             88              ,            82             ,          3          ,  Anchorage  ,  West Coast India  ,  West Coast India  ,         null        
