id   ,    Country     ,   Port Name   ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,   Area Local   ,  Area Global   ,             Also known as            
213  ,  Saudi Arabia  ,    DAMMAM     ,   SADMM   ,        92         ,             35              ,            39             ,         21          ,    Port     ,  Persian Gulf  ,  Arabian Gulf  ,             "[AD DAMMAM]"            
331  ,  Saudi Arabia  ,    JEDDAH     ,   SAJED   ,        66         ,             37              ,            37             ,         53          ,    Port     ,    Red Sea     ,    Red Sea     ,              "[RED SEA]"             
288  ,  Saudi Arabia  ,  RAS TANURA   ,   SARTA   ,        74         ,             25              ,            16             ,         38          ,    Port     ,  Persian Gulf  ,  Arabian Gulf  ,  "[RASTANURA,  RASTANURAH,  JUAYMAH]"
384  ,  Saudi Arabia  ,   AL JUBAIL   ,   SAJUB   ,        60         ,             15              ,            21             ,         27          ,    Port     ,  Persian Gulf  ,  Arabian Gulf  ,         "[JUBAIL,  ALJUBAIL]"        
316  ,  Saudi Arabia  ,  DAMMAM ANCH  ,   null    ,        69         ,             31              ,            36             ,          0          ,  Anchorage  ,  Persian Gulf  ,  Arabian Gulf  ,                  null                
