id   ,   Country   ,     Port Name      ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,    Area Local     ,  Area Global  ,                  Also known as                
77   ,  Indonesia  ,      JAKARTA       ,   IDJKT   ,        186        ,             95              ,            116            ,         81          ,    Port     ,     Java Sea      ,   Indonesia   ,  "[PRIOK,  TANJUNG PRIOK,  ID TPP,  TG PRIOK]"
76   ,  Indonesia  ,     BATU AMPAR     ,   IDBUR   ,        187        ,             128             ,            124            ,         40          ,    Port     ,  Singapore Area   ,   Indonesia   ,        "[BATAM,  BATUAMPAR,  SEKUPANG]"       
267  ,  Indonesia  ,     PALEMBANG      ,   IDPLM   ,        79         ,             31              ,            26             ,         30          ,    Port     ,     Java Sea      ,   Indonesia   ,                    "[PLAJU]"                  
133  ,  Indonesia  ,    TABONEO ANCH    ,   IDTAB   ,        133        ,             72              ,            69             ,         33          ,  Anchorage  ,     Java Sea      ,   Indonesia   ,                   "[TABONEO]"                 
161  ,  Indonesia  ,    BANJARMASIN     ,   IDBDJ   ,        116        ,             35              ,            67             ,         25          ,    Port     ,     Java Sea      ,   Indonesia   ,                   "[BANJAR]"                  
287  ,  Indonesia  ,      SURABAYA      ,   IDSUB   ,        74         ,             54              ,            58             ,         53          ,    Port     ,     Java Sea      ,   Indonesia   ,                "[TANJUNG PERAK]"              
184  ,  Indonesia  ,    JAKARTA ANCH    ,   null    ,        105        ,             52              ,            71             ,          0          ,  Anchorage  ,     Java Sea      ,   Indonesia   ,                      null                     
98   ,  Indonesia  ,  MUARA BERAU ANCH  ,   IDMUB   ,        162        ,             59              ,            61             ,          6          ,  Anchorage  ,  Makassar Strait  ,   Indonesia   ,                      null                     
