id   ,  Country  ,    Port Name    ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,    Area Local    ,  Area Global  ,                     Also known as                    
471  ,  Nigeria  ,   LAGOS ANCH    ,   null    ,        52         ,             23              ,            26             ,          0          ,  Anchorage  ,  Gulf of Guinea  ,  West Africa  ,                          null                        
291  ,  Nigeria  ,      LAGOS      ,   NGLOS   ,        73         ,             14              ,            23             ,         40          ,    Port     ,  Gulf of Guinea  ,  West Africa  ,         "[APAPA,  NIGERIA,  TINCAN,  TIN CAN]"       
434  ,  Nigeria  ,  PORT HARCOURT  ,   NGPHC   ,        55         ,             16              ,            15             ,          2          ,    Port     ,  Gulf of Guinea  ,  West Africa  ,  "[HARCOURT,  PORTHARCOURT,  AMADI BASE,  AMADIBASE]"
