id   ,  Country   ,    Port Name    ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,     Area Local     ,    Area Global    ,                Also known as               
155  ,  Thailand  ,     BANGKOK     ,   THBKK   ,        118        ,             47              ,            41             ,         33          ,    Port     ,  Gulf of Thailand  ,  South-East Asia  ,        "[BANGKONG,  THAILAND,  BKK]"       
275  ,  Thailand  ,  LAEM CHABANG   ,   THLCH   ,        77         ,             54              ,            57             ,         56          ,    Port     ,  Gulf of Thailand  ,  South-East Asia  ,  "[LAEMCHABANG,  LEAM CHABANG,  LAC,  LCB]"
271  ,  Thailand  ,  SRIRACHA ANCH  ,   null    ,        79         ,             36              ,            32             ,          3          ,  Anchorage  ,  Gulf of Thailand  ,  South-East Asia  ,                     null                   
301  ,  Thailand  ,     PHUKET      ,   THHKT   ,        72         ,             29              ,            25             ,          2          ,    Port     ,    Andaman Sea     ,  South-East Asia  ,                     null                   
