id   ,  Country  ,   Port Name    ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,    Area Local     ,    Area Global    ,            Also known as           
175  ,  Vietnam  ,    VUNG TAU    ,   VNVUT   ,        109        ,             98              ,            125            ,         63          ,    Port     ,  South-East Asia  ,  South-East Asia  ,             "[VUNGTAU]"            
96   ,  Vietnam  ,  HO CHI MINH   ,   VNSGN   ,        163        ,             42              ,            63             ,         60          ,    Port     ,  South-East Asia  ,  South-East Asia  ,  "[SAIGON,  CAT LAI,  HIEP PHUOC]" 
409  ,  Vietnam  ,  HON GAI ANCH  ,   null    ,        58         ,             22              ,            20             ,          3          ,  Anchorage  ,  South-East Asia  ,  South-East Asia  ,                 null               
336  ,  Vietnam  ,    NGHI SON    ,   VNNGH   ,        66         ,             17              ,            20             ,         11          ,    Port     ,  South-East Asia  ,  South-East Asia  ,  "[THANH HOA,  VN THO,  THANH HAO]"
67   ,  Vietnam  ,   HAI PHONG    ,   VNHPH   ,        215        ,             78              ,            103            ,         70          ,    Port     ,  South-East Asia  ,  South-East Asia  ,             "[HAIPHONG]"           
