id   ,  Country   ,       Port Name        ,  UN Code  ,  Vessels in Port  ,  Departures(Last 24 Hours)  ,  Arrivals(Last 24 Hours)  ,  Expected Arrivals  ,    Type     ,    Area Local    ,  Area Global  ,               Also known as             
353  ,  Malaysia  ,         PENANG         ,   MYPEN   ,        64         ,             48              ,            52             ,         16          ,    Port     ,  Malacca Strait  ,   Indonesia   ,  "[PRAI,  BUTTERWORTH,  PINANG,  MYPRA]"
421  ,  Malaysia  ,  TANJUNG PELEPAS ANCH  ,   null    ,        57         ,             50              ,            51             ,          0          ,  Anchorage  ,  Singapore Area  ,   Indonesia   ,                   null                  
100  ,  Malaysia  ,       PORT KLANG       ,   MYPKG   ,        158        ,             91              ,            106            ,         143         ,    Port     ,  Malacca Strait  ,   Indonesia   ,     "[KLANG,  PKLANG,  PORT KELANG]"    
